Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,27.600000,28.620001,27.600000,28.559999,28.238913,161600
2023-01-04,28.719999,29.330000,28.559999,29.129999,28.802502,82700
2023-01-05,29.070000,29.150000,28.350000,28.940001,28.614641,139000
2023-01-06,29.260000,30.299999,29.080000,30.030001,29.692385,67400
2023-01-09,30.090000,30.320000,29.250000,29.270000,28.940928,82500
2023-01-10,29.000000,30.290001,29.000000,30.230000,29.890137,62800
2023-01-11,30.330000,30.750000,30.059999,30.360001,30.018675,58100
2023-01-12,30.719999,30.719999,30.059999,30.209999,29.870361,68600
2023-01-13,30.080000,30.440001,29.799999,30.270000,29.929688,74700
2023-01-17,30.330000,31.240000,30.330000,30.559999,30.216425,77600
2023-01-18,30.760000,30.900000,30.059999,30.110001,29.771486,54000
2023-01-19,29.760000,30.480000,29.510000,30.370001,30.028563,52400
2023-01-20,30.610001,30.770000,30.110001,30.570000,30.226315,63500
2023-01-23,30.719999,31.230000,30.370001,30.650000,30.305414,68100
2023-01-24,31.730000,31.730000,30.709999,30.850000,30.503166,98700
2023-01-25,30.700001,30.850000,30.340000,30.850000,30.503166,47700
2023-01-26,31.000000,31.530001,30.700001,31.490000,31.135969,48000
2023-01-27,31.410000,31.670000,31.190001,31.290001,30.938219,39800
2023-01-30,31.139999,31.350000,30.680000,31.100000,30.750355,63400
2023-01-31,31.219999,32.459999,31.219999,32.419998,32.055511,89300
2023-02-01,32.490002,32.869999,31.850000,32.410000,32.045628,76300
2023-02-02,32.779999,33.090000,32.369999,32.700001,32.332367,63600
2023-02-03,32.340000,33.110001,32.099998,32.660000,32.404797,106400
2023-02-06,32.669998,32.980000,32.169998,32.490002,32.236126,124000
2023-02-07,32.389999,32.389999,31.709999,32.200001,31.948391,69800
2023-02-08,32.130001,32.130001,31.270000,31.400000,31.154642,67800
2023-02-09,31.680000,31.809999,30.650000,30.680000,30.440268,73800
2023-02-10,30.760000,31.709999,30.620001,31.620001,31.372923,74800
2023-02-13,31.660000,32.529999,31.549999,32.500000,32.246048,82800
2023-02-14,32.380001,32.980000,32.310001,32.730000,32.474247,78000
2023-02-15,32.770000,34.320000,32.770000,34.290001,34.022060,120900
2023-02-16,33.849998,34.180000,33.459999,33.849998,33.585499,92200
2023-02-17,33.980000,34.230000,33.389999,33.480000,33.218388,90600
2023-02-21,33.060001,33.709999,32.509998,32.689999,32.434559,131300
2023-02-22,32.939999,33.230000,32.029999,33.009998,32.752060,85600
